Run,LocalTime,Time,Altitude,Distance,HeartRate,Speed,VerticalSpeed,Cadence
One,2016-10-02 16:18:36,0,22,0,106,2,-0.33,85
One,2016-10-02 16:18:37,0.02,22,7,106,2,-0.33,89
One,2016-10-02 16:18:38,0.03,22,10,106,2.2,-0.33,81
One,2016-10-02 16:18:39,0.05,22,12,106,2.2,-0.33,80
One,2016-10-02 16:18:40,0.07,22,15,107,2.2,-0.31,81
One,2016-10-02 16:18:41,0.08,22,17,107,2.3,-0.3,87
One,2016-10-02 16:18:42,0.10,22,20,106,2.4,-0.28,81
One,2016-10-02 16:18:43,0.12,21,23,106,2.5,-0.26,83
One,2016-10-02 16:18:44,0.13,21,26,106,2.6,-0.23,84
One,2016-10-02 16:18:45,0.15,21,29,107,2.6,-0.21,84
One,2016-10-02 16:18:46,0.17,20,32,109,2.7,-0.2,84
One,2016-10-02 16:18:47,0.18,20,32,110,2.7,-0.18,83
One,2016-10-02 16:18:48,0.20,20,39,109,2.9,-0.18,82
One,2016-10-02 16:18:49,0.22,20,43,108,2.9,-0.16,83
One,2016-10-02 16:18:50,0.23,21,47,108,3,-0.15,82
One,2016-10-02 16:18:51,0.25,21,50,108,3.1,-0.15,82
One,2016-10-02 16:18:52,0.27,21,54,108,3.1,-0.13,82
One,2016-10-02 16:18:53,0.28,21,54,109,3.2,-0.11,83
One,2016-10-02 16:18:54,0.30,21,61,109,3.2,-0.11,83
One,2016-10-02 16:18:55,0.32,21,61,110,3.2,-0.1,83
One,2016-10-02 16:18:56,0.33,21,68,111,3.3,-0.1,90
One,2016-10-02 16:18:57,0.35,21,72,111,3.3,-0.08,83
One,2016-10-02 16:18:58,0.37,21,75,112,3.3,-0.08,83
One,2016-10-02 16:18:59,0.38,21,79,113,3.3,-0.06,82
One,2016-10-02 16:19:00,0.40,21,82,114,3.4,-0.06,82
One,2016-10-02 16:19:01,0.42,21,86,115,3.4,-0.05,82
One,2016-10-02 16:19:02,0.43,21,89,116,3.4,-0.05,81
One,2016-10-02 16:19:03,0.45,22,89,117,3.3,-0.03,81
One,2016-10-02 16:19:04,0.47,22,89,117,3.3,-0.03,81
One,2016-10-02 16:19:05,0.48,22,97,116,3.2,-0.03,82
One,2016-10-02 16:19:06,0.50,22,99,117,3.2,-0.03,82
One,2016-10-02 16:19:07,0.52,22,102,117,3.2,-0.03,88
One,2016-10-02 16:19:08,0.53,22,105,116,3.2,-0.03,81
One,2016-10-02 16:19:09,0.55,23,108,116,3.2,-0.01,81
One,2016-10-02 16:19:10,0.57,23,111,117,3.1,-0.01,81
One,2016-10-02 16:19:11,0.58,23,113,117,3.1,-0.01,81
One,2016-10-02 16:19:12,0.60,23,115,117,3.1,0,82
One,2016-10-02 16:19:13,0.62,23,118,118,3,0,81
One,2016-10-02 16:19:14,0.63,23,120,118,3,0.01,82
One,2016-10-02 16:19:15,0.65,23,123,119,3,0.01,85
One,2016-10-02 16:19:16,0.67,24,126,119,3,0.03,80
One,2016-10-02 16:19:17,0.68,24,129,119,3,0.05,80
One,2016-10-02 16:19:18,0.70,24,132,119,3,0.06,81
One,2016-10-02 16:19:19,0.72,24,134,119,3,0.08,80
One,2016-10-02 16:19:20,0.73,24,137,119,3,0.08,82
One,2016-10-02 16:19:21,0.75,24,140,119,3,0.08,82
One,2016-10-02 16:19:22,0.77,24,142,120,2.9,0.08,82
One,2016-10-02 16:19:23,0.78,24,145,120,2.9,0.08,82
One,2016-10-02 16:19:24,0.80,23,147,121,2.9,0.1,83
One,2016-10-02 16:19:25,0.82,23,149,121,2.9,0.1,84
One,2016-10-02 16:19:26,0.83,23,152,121,2.9,0.1,84
One,2016-10-02 16:19:27,0.85,23,154,121,2.9,0.1,85
One,2016-10-02 16:19:28,0.87,23,158,122,2.9,0.08,85
One,2016-10-02 16:19:29,0.88,23,161,123,2.9,0.08,84
One,2016-10-02 16:19:30,0.90,23,164,122,2.9,0.08,83
One,2016-10-02 16:19:31,0.92,23,166,122,2.9,0.08,83
One,2016-10-02 16:19:32,0.93,23,169,123,2.9,0.06,83
One,2016-10-02 16:19:33,0.95,23,172,123,2.9,0.06,82
One,2016-10-02 16:19:34,0.97,23,176,123,2.9,0.06,87
One,2016-10-02 16:19:35,0.98,23,179,123,2.9,0.05,80
One,2016-10-02 16:19:36,1.00,23,182,123,2.9,0.05,80
One,2016-10-02 16:19:37,1.02,23,186,124,3,0.05,85
One,2016-10-02 16:19:38,1.03,23,190,123,3,0.03,78
One,2016-10-02 16:19:39,1.05,23,192,123,3,0.03,81
One,2016-10-02 16:19:40,1.07,23,195,124,3,0.01,79
One,2016-10-02 16:19:41,1.08,23,198,124,3,0.01,81
One,2016-10-02 16:19:42,1.10,23,201,122,3,0.01,82
One,2016-10-02 16:19:43,1.12,23,203,122,2.9,0,84
One,2016-10-02 16:19:44,1.13,23,206,123,2.9,0,84
One,2016-10-02 16:19:45,1.15,23,208,123,2.9,0,83
One,2016-10-02 16:19:46,1.17,23,208,122,2.8,0,83
One,2016-10-02 16:19:47,1.18,23,211,122,2.8,0,84
One,2016-10-02 16:19:48,1.20,23,211,122,2.7,0,84
One,2016-10-02 16:19:49,1.22,23,215,122,2.7,0,83
One,2016-10-02 16:19:50,1.23,23,218,122,2.7,0,83
One,2016-10-02 16:19:51,1.25,23,221,122,2.7,-0.01,82
One,2016-10-02 16:19:52,1.27,23,224,122,2.7,0,90
One,2016-10-02 16:19:53,1.28,23,227,123,2.7,0,87
