Game_Number,Date,H_V_A,Opponent,Score,Points_For,Points_Against,Result,Wday_Wend,effFG_per,TO_per,OREB_per,DRER_per,FTF,VPS,FGM,FGA,FG_per,2FGM,2FGA,2FG_per,3FGM,3FGA,3FG_per,FTM,FTA,FT_PER,PF,PA,PPP,PPG,plus_minus,MINS,TP,PoT,SCP,PiP,DREB,REB,AST,TO,A/TO,TO_per,SLOB,SLOB_PER,PPSLOB,BLOB,BLOB_per,PPBLOB,DEFL,STL,BLK,FOUL,CHG
20,27-Feb,AWAY,Worcester Academy,52-67,52,67,L ,WeekDay,0.44,0.23,0.35,0.48,0.35,0.79,18,51,0.35,9,26,0.35,9,25,0.36,7,18,0.39,52,67,0.81,52,-15,31,0,12,10,16,15,28,13,18,0.72,0.23,5,0.2,0.4,13,0.62,1.23,9,6,0,18,0
19,15-Feb,HOME,N&GHS,62-44,62,44,W ,WeekDay,0.48,0.28,0.49,0.59,0.47,1.21,22,49,0.45,19,35,0.54,3,14,0.21,15,23,0.65,62,44,0.93,62,18,32,25,23,9,34,23,39,12,23,0.52,0.28,7,0.14,0.29,7,0.29,0.57,14,15,6,15,0
18,9-Feb,AWAY,Middlesex,52-16,52,16,W ,WeekEnd,0.54,0.26,0.32,0.67,0.18,1.23,20,45,0.44,11,25,0.44,9,20,0.45,3,8,0.38,52,16,0.9,52,36,32,4,32,17,18,26,34,14,17,0.82,0.26,4,0.5,1.25,8,0.5,1.5,19,12,2,13,0
17,8-Feb,HOME,Tabor Academy,40-50,40,50,L ,WeekDay,0.35,0.32,0.27,0.66,0.3,0.69,13,46,0.28,7,28,0.25,6,18,0.33,8,14,0.57,40,50,0.57,40,-10,32,4,12,7,12,25,33,8,25,0.32,0.32,5,0.4,0.4,10,0.3,0.5,8,6,2,18,2
16,6-Feb,AWAY,Milton Academy,48-19,48,19,W ,WeekDay,0.45,0.19,0.23,0.79,0.15,1.18,19,48,0.4,14,28,0.5,5,20,0.25,5,7,0.71,48,19,0.85,48,29,30,3,9,4,24,26,33,9,12,0.75,0.19,4,0.25,0.75,6,0.5,1.17,9,9,3,10,0
15,30-Jan,HOME,BB&NH,54-28,54,28,W ,WeekDay,0.48,0.23,0.4,0.69,0.12,1.42,20,50,0.4,12,29,0.41,8,21,0.38,6,6,1,54,28,0.95,54,26,32,4,22,17,16,20,32,14,16,0.88,0.23,1,0,0,3,0.33,1,10,14,3,6,0
14,26-Jan,AWAY,Tilton School,50-39,50,39,W ,WeekEnd,0.36,0.21,0.3,0.67,0.17,1.03,20,59,0.34,17,42,0.41,3,17,0.18,7,10,0.7,50,39,0.72,50,11,34,16,19,8,34,28,39,10,17,0.59,0.21,6,0.33,0.83,11,0.27,0.55,10,18,6,19,0
13,23-Jan,HOME,Lawrence Academy,59-32,59,32,W ,WeekDay,0.58,0.33,0.41,0.67,0.18,1.26,23,45,0.51,17,31,0.55,6,14,0.43,7,8,0.88,59,32,0.92,59,27,32,13,31,8,32,18,27,14,24,0.58,0.33,9,0.11,0.22,6,0.5,0.83,20,15,3,13,0
12,19-Jan,AWAY,LCS,74-48,74,48,W ,WeekEnd,0.57,0.2,0.38,0.77,0.5,1.43,24,50,0.48,15,24,0.63,9,26,0.35,17,25,0.68,74,48,1.12,74,26,33,11,22,9,28,24,35,18,15,1.2,0.2,9,0.78,1.56,4,0.5,0.75,6,12,0,14,0
11,18-Jan,AWAY,NHSHS,65-29,65,29,W ,WeekDay,0.48,0.23,0.38,0.7,0.15,1.36,26,59,0.44,21,43,0.49,5,16,0.31,8,9,0.89,65,29,0.92,65,36,33,23,18,8,24,28,40,16,19,0.84,0.23,6,0.5,1.17,16,0.44,1,19,16,9,16,0
10,16-Jan,AWAY,St. George's,65-50,65,50,W ,WeekDay,0.47,0.22,0.43,0.76,0.24,1.31,26,58,0.45,23,41,0.56,3,17,0.18,10,14,0.71,65,50,0.96,65,15,34,14,17,18,44,25,40,13,18,0.72,0.22,7,0.29,0.86,4,0.25,0.5,11,15,7,15,0
9,9-Jan,HOME,Governor's Academy,62-23,62,23,W ,WeekDay,0.58,0.26,0.42,0.88,0.1,1.53,27,51,0.53,22,38,0.58,5,13,0.39,3,5,0.6,62,23,0.99,62,39,32,9,28,9,40,21,31,13,19,0.68,0.26,2,0,0,7,0.14,0.29,9,17,3,8,0
8,30-Dec,AWAY,St. Luke's School,65-27,65,27,W ,WeekEnd,0.46,0.17,0.32,0.84,0.18,1.28,30,66,0.46,29,48,0.6,1,18,0.06,4,12,0.33,65,27,0.87,65,38,32,17,29,7,48,27,39,16,15,1.07,0.17,3,0.67,1.33,9,0.44,0.89,13,19,3,16,1
7,15-Dec,HOME,TBA,54-55,54,55,L ,WeekEnd,0.36,0.2,0.34,0.82,0.46,0.87,16,50,0.32,12,31,0.39,4,19,0.21,18,23,0.78,54,55,0.83,54,-1,34,10,10,11,22,28,39,6,15,0.4,0.2,5,0.2,0.2,7,0.57,1,6,7,0,17,0
6,14-Dec,HOME,WAHS,48-55,48,55,L ,WeekDay,0.39,0.29,0.49,0.5,0.42,0.8,16,48,0.33,11,32,0.34,5,16,0.31,11,20,0.55,48,55,0.77,48,-7,31,6,28,7,16,13,31,11,23,0.48,0.29,5,0.4,1,16,0.38,0.75,12,11,2,20,0
5,13-Dec,HOME,St. Andrews School,55-25,55,25,W ,WeekDay,0.42,0.27,0.36,0.89,0.32,0.98,20,56,0.36,13,36,0.36,7,20,0.35,8,18,0.44,55,25,0.73,55,30,33,15,13,12,22,32,45,13,24,0.54,0.27,1,1,2,8,0.25,0.38,11,15,5,20,0
4,8-Dec,HOME,PSA,43-34,43,34,W ,WeekEnd,0.38,0.33,0.43,0.85,0.34,0.99,14,44,0.32,9,26,0.35,5,18,0.28,10,15,0.67,43,34,0.68,43,9,32,10,1,3,12,39,52,11,25,0.44,0.33,8,0.38,0.63,5,0.2,0.4,9,4,5,11,0
3,7-Dec,AWAY,St. Mark's School,53-28,53,28,W ,WeekDay,0.49,0.26,0.38,0.59,0.4,1.01,20,45,0.44,16,30,0.53,4,15,0.27,9,18,0.5,53,28,0.86,53,25,32,7,28,8,28,20,31,11,19,0.58,0.26,6,0.17,0.33,6,0.5,1,13,19,0,23,0
2,5-Dec,HOME,Groton School,66-40,66,44,W ,WeekDay,0.46,0.18,0.42,0.9,0.12,1.14,28,67,0.42,23,44,0.52,5,23,0.22,5,8,0.63,66,40,0.95,66,26,32,15,20,12,44,34,51,21,16,1.31,0.18,4,0.25,0.5,6,0.33,0.83,7,10,1,23,0
1,30-Nov,AWAY,Worcester Academy,49-60,49,60,L,WeekDay,0.45,0.28,0.29,0.61,0.21,0.86,20,48,0.42,17,29,0.59,3,19,0.16,6,10,0.6,49,60,0.77,49,-11,31,8,13,7,28,17,26,7,20,0.35,0.28,4,0.5,1,6,0.33,0.67,5,9,2,16,1
